file_format,model,context_pages,total_questions,correct_answers,accuracy
pdf,llama3.2:1b,0,44,18,40.91
pdf,llama3.2,0,44,17,38.64
pdf,llama3.1,0,44,24,54.55
pdf,phi3:mini-128k,0,44,23,52.27
pdf,phi3:medium-128k,0,44,24,54.55
pdf,gemma2:9b,0,44,20,45.45
pdf,llama3.2:1b,1,44,15,34.09
pdf,llama3.2,1,44,22,50.0
pdf,llama3.1,1,44,23,52.27
pdf,phi3:mini-128k,1,44,20,45.45
pdf,phi3:medium-128k,1,44,24,54.55
pdf,gemma2:9b,1,44,25,56.82
pdf,llama3.2:1b,3,44,19,43.18
pdf,llama3.2,3,44,10,22.73
pdf,llama3.1,3,44,13,29.55
pdf,phi3:mini-128k,3,44,4,9.09
pdf,phi3:medium-128k,3,44,19,43.18
pdf,gemma2:9b,3,44,16,36.36
pdf,llama3.2:1b,5,44,15,34.09
pdf,llama3.2,5,44,6,13.64
pdf,llama3.1,5,44,10,22.73
pdf,phi3:mini-128k,5,44,0,0.0
pdf,phi3:medium-128k,5,44,17,38.64
pdf,gemma2:9b,5,44,13,29.55
csv,llama3.2:1b,0,44,25,56.82
csv,llama3.2,0,44,39,88.64
csv,llama3.1,0,44,33,75.0
csv,phi3:mini-128k,0,44,34,77.27
csv,phi3:medium-128k,0,44,37,84.09
csv,gemma2:9b,0,44,34,77.27
csv,llama3.2:1b,1,44,22,50.0
csv,llama3.2,1,44,34,77.27
csv,llama3.1,1,44,36,81.82
csv,phi3:mini-128k,1,44,35,79.55
csv,phi3:medium-128k,1,44,34,77.27
csv,gemma2:9b,1,44,39,88.64
csv,llama3.2:1b,3,44,18,40.91
csv,llama3.2,3,44,17,38.64
csv,llama3.1,3,44,18,40.91
csv,phi3:mini-128k,3,44,9,20.45
csv,phi3:medium-128k,3,44,11,25.0
csv,gemma2:9b,3,44,18,40.91
csv,llama3.2:1b,5,44,6,13.64
csv,llama3.2,5,44,5,11.36
csv,llama3.1,5,44,9,20.45
